variant,load_balance_weight,intervention,support,anchor_intervention,anchor_support,control_support,anchor_router_support_count,control_router_support_count,support_count_difference,anchor_fixed_support_loss,control_fixed_support_loss,fixed_support_loss_difference,control_match_rank,control_match_status,control_candidate_count,control_exact_support_count_candidate_count,control_near_support_count_candidate_count,control_min_support_count_abs_difference_available,position_bin,token_class,router_support_count,empty_loss,router_loss,singleton_left_loss,singleton_right_loss,pair_loss,singleton_left_gain,singleton_right_gain,pair_gain,pair_synergy,fixed_support_loss,fixed_support_loss_delta,fixed_support_logit_mse,fixed_support_residual_stream_l2_delta,pair_value_cosine
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"7,17",fixed_best_support_swap,"7,19","7,17",0,0,0,4.027207851409912,4.074254512786865,0.047046661376953125,23,exact_support_count_candidate_available,224,224,224,0,all,all,0,4.163630962371826,2.830271005630493,4.136129856109619,4.288088321685791,4.074254512786865,0.02750110626220703,-0.12445735931396484,0.08937644958496094,0.18633270263671875,4.074254512786865,1.243983507156372,0.24114666879177094,4.749928951263428,-0.018480753526091576
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"7,17",fixed_best_support_swap,"7,19","7,17",0,0,0,4.027207851409912,4.074254512786865,0.047046661376953125,23,exact_support_count_candidate_available,224,224,224,0,even,all,0,4.12342643737793,2.7805063724517822,4.106414794921875,4.241876125335693,4.025435447692871,0.017011642456054688,-0.11844968795776367,0.0979909896850586,0.19942903518676758,4.025435447692871,1.2449290752410889,,,-0.018480753526091576
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"7,17",fixed_best_support_swap,"7,19","7,17",0,0,0,4.027207851409912,4.074254512786865,0.047046661376953125,23,exact_support_count_candidate_available,224,224,224,0,odd,all,0,4.205132484436035,2.881640672683716,4.166803359985352,4.33579158782959,4.124648094177246,0.038329124450683594,-0.1306591033935547,0.08048439025878906,0.17281436920166016,4.124648094177246,1.2430074214935303,,,-0.018480753526091576
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"7,17",fixed_best_support_swap,"7,19","7,17",0,0,0,4.027207851409912,4.074254512786865,0.047046661376953125,23,exact_support_count_candidate_available,224,224,224,0,all,common_target,0,4.114662170410156,2.6311802864074707,3.967679262161255,4.242297649383545,3.90266489982605,0.14698290824890137,-0.12763547897338867,0.21199727058410645,0.19264984130859375,3.90266489982605,1.271484613418579,,,-0.018480753526091576
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"7,17",fixed_best_support_swap,"7,19","7,17",0,0,0,4.027207851409912,4.074254512786865,0.047046661376953125,23,exact_support_count_candidate_available,224,224,224,0,all,rare_target,0,4.234468460083008,3.1182758808135986,4.3798112869262695,4.354330062866211,4.322477340698242,-0.14534282684326172,-0.11986160278320312,-0.08800888061523438,0.17719554901123047,4.322477340698242,1.2042014598846436,,,-0.018480753526091576
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"14,19",fixed_best_support_swap,"7,9","14,19",0,0,0,4.030985355377197,4.152486801147461,0.12150144577026367,20,exact_support_count_candidate_available,224,224,224,0,all,all,0,4.163630962371826,2.830271005630493,4.203796863555908,4.222006797790527,4.152486801147461,-0.04016590118408203,-0.05837583541870117,0.011144161224365234,0.10968589782714844,4.152486801147461,1.3222157955169678,0.2234707623720169,4.972863674163818,0.003519289195537567
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"14,19",fixed_best_support_swap,"7,9","14,19",0,0,0,4.030985355377197,4.152486801147461,0.12150144577026367,20,exact_support_count_candidate_available,224,224,224,0,even,all,0,4.12342643737793,2.7805063724517822,4.1637468338012695,4.197176456451416,4.116519927978516,-0.040320396423339844,-0.07375001907348633,0.0069065093994140625,0.12097692489624023,4.116519927978516,1.3360135555267334,,,0.003519289195537567
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"14,19",fixed_best_support_swap,"7,9","14,19",0,0,0,4.030985355377197,4.152486801147461,0.12150144577026367,20,exact_support_count_candidate_available,224,224,224,0,odd,all,0,4.205132484436035,2.881640672683716,4.245139122009277,4.247636795043945,4.189612865447998,-0.04000663757324219,-0.042504310607910156,0.01551961898803711,0.09803056716918945,4.189612865447998,1.3079721927642822,,,0.003519289195537567
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"14,19",fixed_best_support_swap,"7,9","14,19",0,0,0,4.030985355377197,4.152486801147461,0.12150144577026367,20,exact_support_count_candidate_available,224,224,224,0,all,common_target,0,4.114662170410156,2.6311802864074707,4.144468307495117,4.151061534881592,4.082712650299072,-0.029806137084960938,-0.03639936447143555,0.031949520111083984,0.09815502166748047,4.082712650299072,1.4515323638916016,,,0.003519289195537567
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"14,19",fixed_best_support_swap,"7,9","14,19",0,0,0,4.030985355377197,4.152486801147461,0.12150144577026367,20,exact_support_count_candidate_available,224,224,224,0,all,rare_target,0,4.234468460083008,3.1182758808135986,4.289621829986572,4.3246355056762695,4.253421306610107,-0.05515336990356445,-0.09016704559326172,-0.01895284652709961,0.12636756896972656,4.253421306610107,1.1351454257965088,,,0.003519289195537567
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"5,22",fixed_dominant_router_support,"2,7","5,22",32,0,-32,3.975118637084961,4.179793357849121,0.20467472076416016,1,loose_support_count_fallback,224,0,0,32,all,all,0,4.163630962371826,2.830271005630493,4.241334915161133,4.276830196380615,4.179793357849121,-0.07770395278930664,-0.11319923400878906,-0.016162395477294922,0.17474079132080078,4.179793357849121,1.349522352218628,0.24660246074199677,5.227325916290283,-0.23996442556381226
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"5,22",fixed_dominant_router_support,"2,7","5,22",32,0,-32,3.975118637084961,4.179793357849121,0.20467472076416016,1,loose_support_count_fallback,224,0,0,32,even,all,0,4.12342643737793,2.7805063724517822,4.163334846496582,4.25718355178833,4.119348049163818,-0.039908409118652344,-0.1337571144104004,0.004078388214111328,0.17774391174316406,4.119348049163818,1.3388416767120361,,,-0.23996442556381226
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"5,22",fixed_dominant_router_support,"2,7","5,22",32,0,-32,3.975118637084961,4.179793357849121,0.20467472076416016,1,loose_support_count_fallback,224,0,0,32,odd,all,0,4.205132484436035,2.881640672683716,4.3218512535095215,4.297110557556152,4.242188453674316,-0.11671876907348633,-0.09197807312011719,-0.03705596923828125,0.17164087295532227,4.242188453674316,1.3605477809906006,,,-0.23996442556381226
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"5,22",fixed_dominant_router_support,"2,7","5,22",32,0,-32,3.975118637084961,4.179793357849121,0.20467472076416016,1,loose_support_count_fallback,224,0,0,32,all,common_target,0,4.114662170410156,2.6311802864074707,4.198400974273682,4.283928871154785,4.176957130432129,-0.08373880386352539,-0.1692667007446289,-0.062294960021972656,0.19071054458618164,4.176957130432129,1.5457768440246582,,,-0.23996442556381226
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"5,22",fixed_dominant_router_support,"2,7","5,22",32,0,-32,3.975118637084961,4.179793357849121,0.20467472076416016,1,loose_support_count_fallback,224,0,0,32,all,rare_target,0,4.234468460083008,3.1182758808135986,4.30344295501709,4.266561985015869,4.183896541595459,-0.06897449493408203,-0.03209352493286133,0.05057191848754883,0.1516399383544922,4.183896541595459,1.0656206607818604,,,-0.23996442556381226
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"3,12",fixed_dominant_router_support,"4,12","3,12",11,0,-11,4.207508087158203,4.110198974609375,-0.09730911254882812,1,loose_support_count_fallback,224,0,0,11,all,all,0,4.163630962371826,2.830271005630493,4.278583526611328,4.259964466094971,4.110198974609375,-0.11495256423950195,-0.09633350372314453,0.05343198776245117,0.26471805572509766,4.110198974609375,1.2799279689788818,0.2457745522260666,5.109991073608398,-0.05708910524845123
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"3,12",fixed_dominant_router_support,"4,12","3,12",11,0,-11,4.207508087158203,4.110198974609375,-0.09730911254882812,1,loose_support_count_fallback,224,0,0,11,even,all,0,4.12342643737793,2.7805063724517822,4.256625175476074,4.218586444854736,4.10345983505249,-0.13319873809814453,-0.09516000747680664,0.019966602325439453,0.24832534790039062,4.10345983505249,1.322953462600708,,,-0.05708910524845123
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"3,12",fixed_dominant_router_support,"4,12","3,12",11,0,-11,4.207508087158203,4.110198974609375,-0.09730911254882812,1,loose_support_count_fallback,224,0,0,11,odd,all,0,4.205132484436035,2.881640672683716,4.301247596740723,4.302677154541016,4.1171555519104,-0.0961151123046875,-0.09754467010498047,0.08797693252563477,0.28163671493530273,4.1171555519104,1.2355148792266846,,,-0.05708910524845123
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"3,12",fixed_dominant_router_support,"4,12","3,12",11,0,-11,4.207508087158203,4.110198974609375,-0.09730911254882812,1,loose_support_count_fallback,224,0,0,11,all,common_target,0,4.114662170410156,2.6311802864074707,4.202496528625488,4.177387237548828,3.9869441986083984,-0.08783435821533203,-0.06272506713867188,0.1277179718017578,0.2782773971557617,3.9869441986083984,1.3557639122009277,,,-0.05708910524845123
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"3,12",fixed_dominant_router_support,"4,12","3,12",11,0,-11,4.207508087158203,4.110198974609375,-0.09730911254882812,1,loose_support_count_fallback,224,0,0,11,all,rare_target,0,4.234468460083008,3.1182758808135986,4.388648986816406,4.379421710968018,4.288499355316162,-0.15418052673339844,-0.14495325088500977,-0.0540308952331543,0.2451028823852539,4.288499355316162,1.1702234745025635,,,-0.05708910524845123
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"2,5",fixed_dominant_router_support,"2,10","2,5",10,0,-10,4.0830769538879395,4.104188442230225,0.021111488342285156,1,loose_support_count_fallback,224,0,0,10,all,all,0,4.163630962371826,2.830271005630493,4.1523027420043945,4.241334915161133,4.104188442230225,0.01132822036743164,-0.07770395278930664,0.05944252014160156,0.12581825256347656,4.104188442230225,1.2739174365997314,0.15889933705329895,4.15570068359375,0.0989421159029007
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"2,5",fixed_dominant_router_support,"2,10","2,5",10,0,-10,4.0830769538879395,4.104188442230225,0.021111488342285156,1,loose_support_count_fallback,224,0,0,10,even,all,0,4.12342643737793,2.7805063724517822,4.112416744232178,4.163334846496582,4.047977924346924,0.011009693145751953,-0.039908409118652344,0.07544851303100586,0.10434722900390625,4.047977924346924,1.2674715518951416,,,0.0989421159029007
load_balance_0.0125,0.0125,fixed_residual_norm_matched_nonrouter_control,"2,5",fixed_dominant_router_support,"2,10","2,5",10,0,-10,4.0830769538879395,4.104188442230225,0.021111488342285156,1,loose_support_count_fallback,224,0,0,10,odd,all,0,4.205132484436035,2.881640672683716,4.193474769592285,4.3218512535095215,4.16221284866333,0.01165771484375,-0.11671876907348633,0.04291963577270508,0.1479806900024414,4.16221284866333,1.2805721759796143,,,0.0989421159029007
