position_bin,token_class,residual_norm_bin,residual_gain_bin,support_count_bin,topk2_active_rank_proxy,topk1_active_rank_proxy,topk2_row_count,topk1_row_count,topk2_router_support_count_mean,topk1_router_support_count_mean,topk2_router_loss_mean,topk1_router_loss_mean,topk2_fixed_support_loss_delta_mean,topk1_fixed_support_loss_delta_mean,topk2_fixed_delta_minus_topk1,topk2_fixed_support_logit_mse_mean,topk1_fixed_support_logit_mse_mean,topk2_logit_mse_minus_topk1,topk2_residual_stream_l2_delta_mean,topk1_residual_stream_l2_delta_mean,topk2_residual_stream_l2_delta_minus_topk1,topk2_pair_synergy_mean
odd,common_target,low,mid,mid,2,1,26,62,16.0,15.5,2.9493131087376523,2.9310788810253143,1.2847826114067664,1.3912212069957488,-0.10643859558898239,0.2943604966768852,0.3145058558833215,-0.020145359206436286,6.060720590444712,6.742282752067812,-0.6815621616231002,0.24449602457193229
odd,common_target,mid,high,low,2,1,74,13,11.716216216216216,13.0,2.994019239335447,2.3783712708033047,0.6681409897031011,1.1411662697792053,-0.4730252800761042,0.15177258245042852,0.29980009221113646,-0.14802750976070794,3.33380820300128,6.32011839059683,-2.9863101875955502,0.24597668647766113
odd,common_target,mid,low,low,2,1,63,11,11.968253968253968,13.0,2.4189263695762273,3.1423533179543237,1.8769145409266155,1.6031664935025303,0.2737480474240852,0.349414394251884,0.42724969441240485,-0.07783530016052087,6.279818012600853,6.899357578971169,-0.6195395663703156,0.19377173317803276
odd,common_target,mid,mid,low,2,1,75,8,11.906666666666666,13.0,2.9805840969085695,3.051629900932312,1.531198625564575,1.498300313949585,0.03289831161499013,0.2995611999432246,0.35895948112010956,-0.05939828117688495,6.045159428914388,6.664765179157257,-0.6196057502428687,0.18307674407958985
odd,rare_target,low,high,high,2,1,5,32,18.0,19.0,2.7287314891815186,3.0740832574665546,1.0558024883270263,0.8066076524555683,0.24919483587145796,0.2634007602930069,0.21992926951497793,0.043471490778028976,5.677047252655029,5.322229713201523,0.35481753945350647,0.23037848472595215
odd,rare_target,low,high,low,2,1,22,42,12.045454545454545,13.0,3.151314301924272,2.9605686238833835,0.7853768522089178,1.019445314293816,-0.23406846208489818,0.25694497606971045,0.2318029488836016,0.025142027186108862,5.779834747314453,5.4478561991737005,0.33197854814075267,0.046566497195850716
odd,rare_target,low,high,mid,2,1,6,32,16.0,14.9375,3.147669275601705,3.1191835813224316,0.827854593594869,0.8312970884144306,-0.0034424948195616034,0.2052344555656115,0.22424605628475547,-0.019011600719143956,5.534292380015056,5.253802984952927,0.280489395062129,0.1626583735148112
odd,rare_target,low,low,high,2,1,5,33,18.0,19.0,4.465904474258423,3.2367776812929097,1.3014658451080323,1.7416993271220813,-0.440233482014049,0.32655743360519407,0.3261241569663539,0.0004332766388401854,6.0122583389282225,6.744352239550966,-0.7320939006227434,0.3684573173522949
odd,rare_target,low,low,low,2,1,38,54,11.736842105263158,13.0,3.031424836108559,3.1119768994825856,1.5587081407245837,1.6418458819389343,-0.08313774121435058,0.34023786610678625,0.34834884934955174,-0.00811098324276549,6.206832183034797,6.818772015748201,-0.6119398327134045,0.11765966917339124
odd,rare_target,low,low,mid,2,1,17,30,16.0,15.9,3.4799883085138656,2.9873616258303324,1.387342144461239,1.8695797403653462,-0.4822375959041072,0.33173080139300404,0.3375155438979467,-0.005784742504942653,6.314586667453542,6.87554227511088,-0.5609556076573385,0.1454776174881879
odd,rare_target,low,mid,high,2,1,6,25,18.0,19.0,3.3856664498647056,2.690149359703064,0.8574644724527994,1.5218881177902222,-0.6644236453374227,0.3185619190335274,0.30563599288463594,0.012925926148891431,6.258268038431804,6.795149230957032,-0.5368811925252279,0.2952914237976074
odd,rare_target,low,mid,low,2,1,31,69,12.064516129032258,13.0,3.4566904806321666,3.0728212819583174,1.2583995557600451,1.3883513160373853,-0.12995176027734012,0.2944967035324343,0.330219185438709,-0.035722481906274695,6.071021310744747,6.700288357942001,-0.6292670471972537,0.1370634417380056
odd,rare_target,low,mid,mid,2,1,21,28,16.0,15.714285714285714,3.1689931665148054,2.9644049406051636,1.0372290724799746,1.3161583287375314,-0.2789292562575567,0.30399997461409795,0.2944395329271044,0.009560441686993548,6.020035176050095,6.725546206746783,-0.7055110306966874,0.2374327409835089
odd,rare_target,mid,high,low,2,1,24,4,12.166666666666666,13.0,3.0671958227952323,2.2572729885578156,0.6922752757867178,1.7705559432506561,-1.0782806674639382,0.2016177320231994,0.3443763926625252,-0.14275866063932577,4.310713072617848,6.572188973426819,-2.2614759008089704,0.27968581517537433
odd,rare_target,mid,low,low,2,1,30,4,12.1,13.0,3.4337380170822143,2.9910796880722046,1.456607429186503,2.161711096763611,-0.7051036675771079,0.32256597677866616,0.3934064134955406,-0.07084043671687446,6.450777673721314,6.999238967895508,-0.548461294174194,0.2971206267674764
