anchor_support,control_intervention,control_support,token_index,batch_index,position_index,position_bin,token_class,residual_norm_bin,residual_gain_bin,observed_pair_synergy,control_pair_synergy,observed_minus_control_pair_synergy,observed_pair_gain,control_pair_gain,anchor_router_support_count,control_router_support_count,support_count_difference,fixed_support_loss_difference,control_match_rank,control_match_status
"2,9",fixed_random_nonrouter_control,"17,18",147,2,21,odd,rare_target,low,low,0.22762823104858398,0.26233482360839844,-0.03470659255981445,-0.3991227149963379,-0.0123443603515625,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",150,2,24,even,rare_target,low,mid,0.3455219268798828,0.3099980354309082,0.03552389144897461,-0.10358762741088867,-0.15944814682006836,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",151,2,25,odd,common_target,high,high,0.15752649307250977,0.04408121109008789,0.11344528198242188,0.7455344200134277,0.026653766632080078,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",153,2,27,odd,common_target,high,high,0.5971589088439941,0.0001316070556640625,0.5970273017883301,0.4899613857269287,0.03353071212768555,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",154,2,28,even,rare_target,low,mid,0.30332183837890625,0.18125534057617188,0.12206649780273438,-0.10694503784179688,-0.09927845001220703,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",155,2,29,odd,common_target,high,high,-0.20036649703979492,5.745887756347656e-05,-0.2004239559173584,1.8444619178771973,-0.2688922882080078,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",156,2,30,even,common_target,high,mid,0.5822148323059082,0.0077056884765625,0.5745091438293457,-0.011169910430908203,-0.23575830459594727,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",159,2,33,odd,common_target,high,high,0.15520095825195312,0.000339508056640625,0.1548614501953125,0.3608231544494629,0.03143787384033203,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",161,2,35,odd,common_target,high,high,-0.32127881050109863,-0.09523224830627441,-0.22604656219482422,1.391624927520752,0.18087100982666016,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",164,2,38,even,common_target,high,mid,0.18152523040771484,0.11607599258422852,0.06544923782348633,-0.07196426391601562,-0.019729137420654297,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",167,2,41,odd,rare_target,low,mid,0.5219974517822266,0.12309408187866211,0.39890336990356445,-0.11073637008666992,-0.06875896453857422,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",168,2,42,even,common_target,high,mid,0.27103376388549805,0.0010991096496582031,0.26993465423583984,0.013552188873291016,-0.21639418601989746,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",170,2,44,even,rare_target,low,high,0.08504581451416016,0.24127840995788574,-0.15623259544372559,0.19754695892333984,-7.152557373046875e-07,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",171,2,45,odd,rare_target,low,high,0.36287784576416016,0.07411384582519531,0.28876399993896484,0.28522825241088867,-0.3301277160644531,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",172,2,46,even,rare_target,low,low,0.43006038665771484,0.3591330051422119,0.07092738151550293,-0.43857240676879883,-0.0167391300201416,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",174,2,48,even,common_target,low,high,0.23398590087890625,6.67572021484375e-06,0.2339792251586914,0.181610107421875,-0.04177999496459961,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",176,2,50,even,common_target,low,high,-0.0057525634765625,0.008955001831054688,-0.014707565307617188,0.13919544219970703,-0.18477535247802734,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",181,2,55,odd,common_target,low,low,0.31694555282592773,0.3089003562927246,0.008045196533203125,-0.2404780387878418,-0.0251922607421875,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
