support_key,support_size,loss,gain_from_empty,delta_from_router,pairwise_synergy
"11,17",2,4.144784927368164,0.01884603500366211,1.2766778469085693,0.07863235473632812
"11,18",2,4.129835605621338,0.03379535675048828,1.2617285251617432,0.19108247756958008
"11,19",2,4.079459190368652,0.08417177200317383,1.2113521099090576,0.21877241134643555
"11,20",2,4.129834175109863,0.03379678726196289,1.2617270946502686,0.08959293365478516
"11,21",2,4.183619022369385,-0.019988059997558594,1.31551194190979,0.16880130767822266
"11,22",2,4.214766025543213,-0.05113506317138672,1.3466589450836182,0.12308502197265625
"11,23",2,4.205018043518066,-0.041387081146240234,1.3369109630584717,0.19138050079345703
"12,13",2,4.179232597351074,-0.015601634979248047,1.3111255168914795,0.08759832382202148
"12,14",2,4.188145160675049,-0.024514198303222656,1.320038080215454,0.03488636016845703
"12,15",2,4.163771629333496,-0.00014066696166992188,1.2956645488739014,0.08266067504882812
"12,16",2,4.205758571624756,-0.04212760925292969,1.3376514911651611,0.06579113006591797
"12,17",2,4.168731212615967,-0.005100250244140625,1.300624132156372,0.003101348876953125
"12,18",2,4.143515586853027,0.020115375518798828,1.2754085063934326,0.12581777572631836
"12,19",2,4.099873065948486,0.06375789642333984,1.2317659854888916,0.1467738151550293
"12,20",2,4.165699481964111,-0.0020685195922851562,1.2975924015045166,0.0021429061889648438
"12,21",2,4.209980487823486,-0.046349525451660156,1.3418734073638916,0.09085512161254883
"12,22",2,4.249912738800049,-0.08628177642822266,1.381805658340454,0.03635358810424805
"12,23",2,4.217804431915283,-0.05417346954345703,1.3496973514556885,0.12700939178466797
"13,14",2,4.137582302093506,0.026048660278320312,1.2694752216339111,0.18022632598876953
"13,15",2,4.192839622497559,-0.029208660125732422,1.3247325420379639,0.14836978912353516
"13,16",2,4.169670104980469,-0.006039142608642578,1.301563024520874,0.1966567039489746
"13,17",2,4.181156635284424,-0.017525672912597656,1.313049554824829,0.08545303344726562
"13,18",2,4.196788787841797,-0.0331578254699707,1.3286817073822021,0.16732168197631836
"13,19",2,4.1391425132751465,0.024488449096679688,1.2710354328155518,0.20228147506713867
"13,20",2,4.157698154449463,0.005932807922363281,1.2895910739898682,0.10492134094238281
"13,21",2,4.205644607543945,-0.04201364517211914,1.3375375270843506,0.18996810913085938
"13,22",2,4.205841064453125,-0.04221010208129883,1.3377339839935303,0.1752023696899414
"13,23",2,4.238090515136719,-0.07445955276489258,1.369983434677124,0.20150041580200195
"14,15",2,4.127014636993408,0.03661632537841797,1.2589075565338135,0.1703953742980957
"14,16",2,4.153377056121826,0.01025390625,1.2852699756622314,0.16915035247802734
"14,17",2,4.199723720550537,-0.03609275817871094,1.3316166400909424,0.0230865478515625
"14,18",2,4.087883949279785,0.07574701309204102,1.2197768688201904,0.23242712020874023
"14,19",2,4.103769302368164,0.05986166000366211,1.2356622219085693,0.19385528564453125
"14,20",2,4.171065330505371,-0.007434368133544922,1.3029582500457764,0.047754764556884766
"14,21",2,4.209584712982178,-0.04595375061035156,1.341477632522583,0.1422286033630371
"14,22",2,4.184922218322754,-0.021291255950927734,1.3168151378631592,0.15232181549072266
"14,23",2,4.214186668395996,-0.05055570602416992,1.3460795879364014,0.18160486221313477
"15,16",2,4.169209957122803,-0.0055789947509765625,1.301102876663208,0.17671823501586914
"15,17",2,4.194235801696777,-0.030604839324951172,1.3261287212371826,0.051975250244140625
"15,18",2,4.1491522789001465,0.014478683471679688,1.2810451984405518,0.19455957412719727
"15,19",2,4.131520748138428,0.03211021423339844,1.263413667678833,0.18950462341308594
"15,20",2,4.1501359939575195,0.01349496841430664,1.2820289134979248,0.09208488464355469
"15,21",2,4.216095447540283,-0.05246448516845703,1.3479883670806885,0.15911865234375
"15,22",2,4.218945026397705,-0.055314064025878906,1.3508379459381104,0.14169979095458984
"15,23",2,4.20025634765625,-0.03662538528442383,1.3321492671966553,0.21893596649169922
"16,17",2,4.208014488220215,-0.04438352584838867,1.3399074077606201,0.06331396102905273
"16,18",2,4.166219234466553,-0.0025882720947265625,1.298112154006958,0.20261001586914062
"16,19",2,4.163144588470459,0.0004863739013671875,1.2950375080108643,0.1829981803894043
