causal_feature_safe,control,empty_loss,fold,heldout_sequence_index,oracle_loss,oracle_regret_positive_fraction,positions,router_loss,router_minus_empty_loss,router_oracle_gap,support_router,top_k,unique_support_sets,used_columns,uses_future_context,variant
True,promoted_contextual_topk2,4.174962520599365,2,2,2.8792459964752197,1.0,63,3.0148985385894775,-1.1600639820098877,0.1356525421142578,contextual_mlp,2,55,21,False,past_context_only
True,linear_topk2_control,4.174962520599365,2,2,3.5663845539093018,1.0,63,3.578021764755249,-0.5969407558441162,0.011637210845947266,linear,2,24,12,False,linear_actual
True,causal_contextual_topk2,4.174962520599365,2,2,2.859760046005249,1.0,63,2.9266276359558105,-1.2483348846435547,0.06686758995056152,contextual_mlp_causal,2,51,23,False,actual_causal_context
True,causal_contextual_topk2,4.174962520599365,2,2,2.859760046005249,1.0,63,2.9266276359558105,-1.2483348846435547,0.06686758995056152,contextual_mlp_causal,2,51,23,False,causal_current_past_position
True,causal_contextual_topk2,4.174962520599365,2,2,2.859760046005249,1.0,63,2.925837278366089,-1.2491252422332764,0.06607723236083984,contextual_mlp_causal,2,51,23,False,current_past_no_position
True,causal_contextual_topk2,4.174962520599365,2,2,2.859760046005249,1.0,63,3.136929750442505,-1.0380327701568604,0.27716970443725586,contextual_mlp_causal,2,47,21,False,current_hidden_only
True,causal_contextual_topk2,4.174962520599365,2,2,2.859760046005249,1.0,63,4.2357659339904785,0.06080341339111328,1.3760058879852295,contextual_mlp_causal,2,9,6,False,position_only
True,causal_contextual_topk2,4.174962520599365,2,2,2.859760046005249,1.0,63,2.9522652626037598,-1.2226972579956055,0.09250521659851074,contextual_mlp_causal,2,51,23,False,past_context_only
False,contextual_topk1_control,4.174962520599365,2,2,3.021477699279785,1.0,63,3.2226345539093018,-0.9523279666900635,0.2011568546295166,contextual_mlp,1,22,22,True,actual_full_context
True,contextual_topk1_control,4.174962520599365,2,2,3.021477699279785,1.0,63,4.088100910186768,-0.08686161041259766,1.0666232109069824,contextual_mlp,1,18,18,False,causal_current_past_position
True,contextual_topk1_control,4.174962520599365,2,2,3.021477699279785,1.0,63,4.165598392486572,-0.009364128112792969,1.144120693206787,contextual_mlp,1,17,17,False,current_hidden_only
True,contextual_topk1_control,4.174962520599365,2,2,3.021477699279785,1.0,63,4.2493767738342285,0.07441425323486328,1.2278990745544434,contextual_mlp,1,5,5,False,position_only
True,contextual_topk1_control,4.174962520599365,2,2,3.021477699279785,1.0,63,4.116089344024658,-0.05887317657470703,1.094611644744873,contextual_mlp,1,19,19,False,past_context_only
True,causal_contextual_topk1_control,4.174962520599365,2,2,3.0411391258239746,1.0,63,3.2615251541137695,-0.9134373664855957,0.22038602828979492,contextual_mlp_causal,1,20,20,False,actual_causal_context
True,causal_contextual_topk1_control,4.174962520599365,2,2,3.0411391258239746,1.0,63,3.2615251541137695,-0.9134373664855957,0.22038602828979492,contextual_mlp_causal,1,20,20,False,causal_current_past_position
True,causal_contextual_topk1_control,4.174962520599365,2,2,3.0411391258239746,1.0,63,3.2248988151550293,-0.9500637054443359,0.1837596893310547,contextual_mlp_causal,1,22,22,False,current_past_no_position
True,causal_contextual_topk1_control,4.174962520599365,2,2,3.0411391258239746,1.0,63,4.057566165924072,-0.11739635467529297,1.0164270401000977,contextual_mlp_causal,1,17,17,False,current_hidden_only
True,causal_contextual_topk1_control,4.174962520599365,2,2,3.0411391258239746,1.0,63,4.22233247756958,0.047369956970214844,1.1811933517456055,contextual_mlp_causal,1,9,9,False,position_only
True,causal_contextual_topk1_control,4.174962520599365,2,2,3.0411391258239746,1.0,63,3.7715330123901367,-0.4034295082092285,0.7303938865661621,contextual_mlp_causal,1,21,21,False,past_context_only
False,promoted_contextual_topk2,4.179549217224121,3,3,2.9087471961975098,1.0,63,2.911665439605713,-1.2678837776184082,0.002918243408203125,contextual_mlp,2,43,22,True,actual_full_context
