variant,load_balance_weight,column,router_support_count,router_support_fraction,column_value_norm,mean_router_score,ablate_loss,ablate_loss_delta,ablate_logit_mse,ablate_residual_stream_l2_delta,force_loss,force_loss_delta,force_logit_mse,force_residual_stream_l2_delta
load_balance_0.0125,0.0125,3,19,0.037109375,4.510624885559082,-6.182651042938232,2.9491353034973145,0.11886453628540039,0.013401658274233341,0.3347727656364441,4.27858304977417,1.4483122825622559,0.31612101197242737,5.742781639099121
load_balance_0.0125,0.0125,4,25,0.048828125,4.092045307159424,1.7726284265518188,2.871183395385742,0.040912628173828125,0.0036481840070337057,0.1278764009475708,4.283145427703857,1.4528746604919434,0.27007853984832764,5.808148384094238
load_balance_0.0125,0.0125,5,12,0.0234375,4.050702095031738,-2.080192804336548,2.90447735786438,0.07420659065246582,0.006869155913591385,0.18987663090229034,4.241334915161133,1.4110641479492188,0.288434773683548,5.619203090667725
load_balance_0.0125,0.0125,6,9,0.017578125,3.5392825603485107,-1.9547524452209473,2.867119312286377,0.03684854507446289,0.004113803617656231,0.12442198395729065,4.267879962921143,1.4376091957092285,0.2690266966819763,5.4079742431640625
load_balance_0.0125,0.0125,7,36,0.0703125,4.552870273590088,-4.681970596313477,3.019660472869873,0.18938970565795898,0.02255343459546566,0.635068416595459,4.136129856109619,1.305859088897705,0.27298685908317566,5.337716102600098
load_balance_0.0125,0.0125,8,15,0.029296875,4.037413120269775,0.7967822551727295,2.8743367195129395,0.04406595230102539,0.003910521976649761,0.12616875767707825,4.2167158126831055,1.3864450454711914,0.26776251196861267,5.696020126342773
load_balance_0.0125,0.0125,9,4,0.0078125,4.0615715980529785,1.902714729309082,2.863654851913452,0.033384084701538086,0.0021328269504010677,0.06346173584461212,4.26015043258667,1.4298796653747559,0.28029224276542664,5.720058441162109
load_balance_0.0125,0.0125,10,14,0.02734375,4.2270660400390625,0.05172264203429222,2.9104981422424316,0.08022737503051758,0.0060121226124465466,0.16511975228786469,4.244551658630371,1.414280891418457,0.28540176153182983,5.670873641967773
load_balance_0.0125,0.0125,11,23,0.044921875,3.9698452949523926,1.7019259929656982,2.87471866607666,0.044447898864746094,0.0040028514340519905,0.12405827641487122,4.21234655380249,1.3820757865905762,0.2591901421546936,5.551931858062744
load_balance_0.0125,0.0125,12,14,0.02734375,4.238559722900391,-0.8610819578170776,2.8921635150909424,0.06189274787902832,0.007986604236066341,0.23179611563682556,4.259964466094971,1.4296936988830566,0.28219348192214966,5.6737446784973145
load_balance_0.0125,0.0125,13,55,0.107421875,3.841477155685425,3.205192804336548,2.878312826156616,0.04804205894470215,0.005650744773447514,0.18041448295116425,4.2569804191589355,1.4267096519470215,0.26691991090774536,5.522345066070557
load_balance_0.0125,0.0125,14,19,0.037109375,3.5086519718170166,3.3773412704467773,2.86710524559021,0.0368344783782959,0.0031038527376949787,0.09562534093856812,4.203796863555908,1.3735260963439941,0.24595002830028534,5.259494781494141
load_balance_0.0125,0.0125,15,22,0.04296875,4.017197132110596,-4.576258659362793,2.8922462463378906,0.06197547912597656,0.009476357139647007,0.28245848417282104,4.270195960998535,1.439925193786621,0.2693796157836914,5.453500747680664
load_balance_0.0125,0.0125,16,18,0.03515625,3.546018600463867,2.581472396850586,2.8576698303222656,0.027399063110351562,0.001437230734154582,0.05562655255198479,4.247902870178223,1.4176321029663086,0.23586465418338776,5.396603107452393
load_balance_0.0125,0.0125,17,12,0.0234375,4.1523823738098145,0.6555284261703491,2.8943965435028076,0.06412577629089355,0.0074724978767335415,0.19464266300201416,4.288088321685791,1.457817554473877,0.3002834618091583,5.642660140991211
load_balance_0.0125,0.0125,18,8,0.015625,4.0849928855896,-3.7366220951080322,2.875239133834839,0.044968366622924805,0.004202357959002256,0.1276559829711914,4.258029937744141,1.4277591705322266,0.2813572585582733,5.73246431350708
load_balance_0.0125,0.0125,19,14,0.02734375,3.7079625129699707,1.7455694675445557,2.8582563400268555,0.027985572814941406,0.0022589140571653843,0.07269967347383499,4.222006797790527,1.3917360305786133,0.2506639063358307,5.453307628631592
load_balance_0.0125,0.0125,20,24,0.046875,4.308263301849365,-1.598928689956665,2.9214425086975098,0.0911717414855957,0.013801631517708302,0.40389925241470337,4.232547283172607,1.4022765159606934,0.27714934945106506,5.496007919311523
load_balance_0.0125,0.0125,21,8,0.015625,3.909715414047241,-3.0568952560424805,2.87589168548584,0.04562091827392578,0.0046290019527077675,0.12217700481414795,4.309114456176758,1.4788436889648438,0.29108673334121704,5.59055233001709
load_balance_0.0125,0.0125,22,7,0.013671875,3.8500587940216064,-1.0196499824523926,2.859196901321411,0.02892613410949707,0.002060225233435631,0.06015709042549133,4.276830196380615,1.4465594291687012,0.27547138929367065,5.606819152832031
load_balance_0.0125,0.0125,23,8,0.015625,3.917508602142334,2.017693042755127,2.871623992919922,0.04135322570800781,0.00334548600949347,0.12242211401462555,4.247123718261719,1.4168529510498047,0.25147801637649536,5.611574172973633
