column_a,column_b,cosine_similarity,value_distance,column_a_used,column_b_used,both_used,co_selected_count
4,19,-0.09384696930646896,6.662773132324219,True,True,True,0
4,20,0.0,4.54788064956665,True,False,False,0
4,21,0.17751114070415497,5.80196475982666,True,True,True,4
4,22,0.1409563422203064,5.7262163162231445,True,True,True,4
4,23,-0.04778832569718361,6.574193477630615,True,True,True,0
5,6,-0.11021126806735992,6.345030784606934,True,True,True,0
5,7,-0.09111437946557999,6.175536155700684,True,True,True,0
5,8,-0.11622858792543411,6.542017936706543,True,True,True,3
5,9,0.5488421320915222,3.892733097076416,True,False,False,0
5,10,0.07952211052179337,5.497429847717285,True,True,True,0
5,11,0.17512555420398712,5.441434860229492,True,True,True,0
5,12,-0.026774760335683823,4.157496452331543,True,False,False,0
5,13,-0.0664667934179306,6.290085792541504,True,True,True,0
5,14,-0.021483637392520905,6.038444519042969,True,True,True,0
5,15,0.07067988812923431,6.006936550140381,True,True,True,0
5,16,0.07791653275489807,5.761811256408691,True,True,True,0
5,17,0.0874062180519104,4.116504669189453,True,False,False,0
5,18,0.04220978915691376,6.1670918464660645,True,True,True,0
5,19,0.00834577064961195,6.052820205688477,True,True,True,0
5,20,0.0,4.1282854080200195,True,False,False,0
5,21,0.022304287180304527,6.038078784942627,True,True,True,0
5,22,0.05831429734826088,5.7004313468933105,True,True,True,8
5,23,-0.15823905169963837,6.597976207733154,True,True,True,0
6,7,-0.08204258233308792,6.3389506340026855,True,True,True,3
6,8,0.029648417606949806,6.272943019866943,True,True,True,0
6,9,0.004692060872912407,4.407191753387451,True,False,False,0
6,10,-0.02738732285797596,5.997398376464844,True,True,True,0
6,11,-0.04525153711438179,6.308116912841797,True,True,True,0
6,12,0.31943240761756897,4.27536678314209,True,False,False,0
6,13,0.04391947016119957,6.1290812492370605,True,True,True,1
6,14,-0.004354661796241999,6.168105602264404,True,True,True,3
6,15,0.0260693971067667,6.3184709548950195,True,True,True,0
6,16,-0.0217874888330698,6.246219158172607,True,True,True,0
6,17,-0.010793080553412437,4.424083709716797,True,False,False,0
6,18,-0.05509795621037483,6.646430492401123,True,True,True,0
6,19,0.12131030112504959,5.86361837387085,True,True,True,3
6,20,0.0,4.384819507598877,True,False,False,0
6,21,-0.08105655759572983,6.532166004180908,True,True,True,0
6,22,-0.11622536927461624,6.399251461029053,True,True,True,0
6,23,-0.14461931586265564,6.748607635498047,True,True,True,0
7,8,0.02789677120745182,6.176095485687256,True,True,True,0
7,9,-0.10608919709920883,4.306240558624268,True,False,False,0
7,10,0.04733004420995712,5.666284084320068,True,True,True,0
7,11,0.04532180353999138,5.923562049865723,True,True,True,0
7,12,0.07661519944667816,4.22023868560791,True,False,False,0
7,13,-0.16318410634994507,6.645442008972168,True,True,True,0
7,14,0.08106935769319534,5.796638011932373,True,True,True,1
7,15,-0.08526463806629181,6.560522556304932,True,True,True,0
7,16,-0.043005846440792084,6.200993537902832,True,True,True,0
7,17,0.04806770011782646,4.2408061027526855,True,False,False,0
7,18,-0.1934921145439148,6.953690528869629,True,True,True,0
7,19,-0.12841005623340607,6.531518936157227,True,True,True,0
7,20,0.0,4.232106685638428,True,False,False,0
7,21,-0.004426383413374424,6.190600395202637,True,True,True,0
7,22,-0.16291692852973938,6.413870811462402,True,True,True,5
7,23,-0.10774286836385727,6.527786731719971,True,True,True,0
8,9,-0.0683174654841423,4.672553062438965,True,False,False,0
8,10,0.24826285243034363,5.291624546051025,True,True,True,0
8,11,-0.0669393241405487,6.546029090881348,True,True,True,0
8,12,-0.00847316812723875,4.637846946716309,True,False,False,0
8,13,0.1583542376756668,5.902297019958496,True,True,True,0
8,14,-0.16717751324176788,6.82980489730835,True,True,True,0
8,15,-0.21318668127059937,7.229925155639648,True,True,True,0
8,16,-0.1261504888534546,6.734475612640381,True,True,True,0
8,17,0.016039269044995308,4.64089822769165,True,False,False,0
8,18,0.0010247033787891269,6.627792835235596,True,True,True,0
8,19,0.03529415652155876,6.306423187255859,True,True,True,0
8,20,0.0,4.617771148681641,True,False,False,0
8,21,-0.0180558692663908,6.505256175994873,True,True,True,0
8,22,0.14946871995925903,5.746238708496094,True,True,True,0
8,23,-0.1326950043439865,6.888179302215576,True,True,True,0
9,10,0.10456164181232452,3.9519155025482178,False,True,False,0
9,11,0.030790332704782486,4.351402759552002,False,True,False,0
9,12,0.14405152201652527,0.5640284419059753,False,False,False,0
9,13,-0.08799886703491211,4.543819904327393,False,True,False,0
9,14,-0.09046079218387604,4.3855204582214355,False,True,False,0
9,15,0.22636361420154572,4.582315444946289,False,True,False,0
9,16,0.07732680439949036,4.342777252197266,False,True,False,0
9,17,0.021816013380885124,0.7066323757171631,False,False,False,0
9,18,-0.00256406981498003,4.782887935638428,False,True,False,0
9,19,-0.09773450344800949,4.530144691467285,False,True,False,0
9,20,0.0,0.46456289291381836,False,False,False,0
9,21,0.057704221457242966,4.496535301208496,False,True,False,0
9,22,0.04030203819274902,4.186121463775635,False,True,False,0
9,23,-0.11073702573776245,4.609556674957275,False,True,False,0
10,11,-0.0920402929186821,6.148651123046875,True,True,True,0
10,12,0.02280714362859726,3.983903169631958,True,False,False,0
10,13,-0.047447383403778076,6.127071857452393,True,True,True,3
10,14,0.09072846919298172,5.597122669219971,True,True,True,0
10,15,-0.15434491634368896,6.578200340270996,True,True,True,1
10,16,-0.07287351042032242,6.104584693908691,True,True,True,0
10,17,0.10265079885721207,3.954700231552124,True,False,False,0
10,18,-0.09179707616567612,6.473670959472656,True,True,True,0
10,19,0.06100960075855255,5.790187358856201,True,True,True,0
10,20,0.0,3.9733917713165283,True,False,False,0
10,21,-0.27188819646835327,6.764138221740723,True,True,True,0
10,22,0.038325343281030655,5.655027389526367,True,True,True,0
10,23,-0.0936962440609932,6.30318021774292,True,True,True,0
11,12,-0.0022049967665225267,4.3595428466796875,True,False,False,0
11,13,-0.1102890893816948,6.572385311126709,True,True,True,0
11,14,0.07748354226350784,5.881467342376709,True,True,True,4
11,15,0.06320368498563766,6.168161869049072,True,True,True,0
11,16,-0.01866663247346878,6.205270290374756,True,True,True,0
11,17,-0.2316942662000656,4.4976887702941895,True,False,False,0
11,18,-0.07953780144453049,6.691650867462158,True,True,True,0
11,19,-0.16656291484832764,6.722748279571533,True,True,True,0
11,20,0.0,4.340860843658447,True,False,False,0
11,21,-0.10717371851205826,6.578278541564941,True,True,True,0
11,22,0.0009872743394225836,6.022585868835449,True,True,True,0
11,23,-0.24237972497940063,6.996528148651123,True,True,True,0
12,13,-0.04458089545369148,4.514030933380127,False,True,False,0
12,14,-0.14916014671325684,4.395021915435791,False,True,False,0
12,15,0.007982232607901096,4.678529262542725,False,True,False,0
12,16,-0.13748373091220856,4.425274848937988,False,True,False,0
12,17,-0.11985287070274353,0.7076225280761719,False,False,False,0
12,18,0.08238182216882706,4.742905616760254,False,True,False,0
12,19,0.02481245994567871,4.468684196472168,False,True,False,0
12,20,0.0,0.39370498061180115,False,False,False,0
12,21,-0.07551516592502594,4.5460734367370605,False,True,False,0
12,22,0.05279048904776573,4.1767897605896,False,True,False,0
12,23,-0.07204350084066391,4.580159664154053,False,True,False,0
13,14,-0.1382816582918167,6.638422966003418,True,True,True,4
13,15,0.12330212444067001,6.055912017822266,True,True,True,0
13,16,-0.050084784626960754,6.401134490966797,True,True,True,0
13,17,0.08183122426271439,4.4677629470825195,True,False,False,0
13,18,-0.019115731120109558,6.597582817077637,True,True,True,0
13,19,0.046386875212192535,6.173465251922607,True,True,True,0
13,20,0.0,4.479312896728516,True,False,False,0
13,21,0.09072665870189667,6.0540452003479,True,True,True,0
13,22,0.00015281264495570213,6.125585556030273,True,True,True,4
13,23,-0.05472050979733467,6.546217918395996,True,True,True,0
14,15,-0.12926581501960754,6.754698753356934,True,True,True,0
14,16,0.01766590029001236,6.078344345092773,True,True,True,8
14,17,-0.18713226914405823,4.452605724334717,True,False,False,0
14,18,-0.19982561469078064,7.036865234375,True,True,True,15
14,19,-0.02144709601998329,6.275485038757324,True,True,True,10
14,20,0.0,4.319023132324219,True,False,False,0
14,21,0.0291702039539814,6.1452813148498535,True,True,True,0
14,22,-0.058194711804389954,6.182150840759277,True,True,True,0
14,23,-0.0715806633234024,6.482559680938721,True,True,True,4
15,16,0.03184998780488968,6.278999328613281,True,True,True,0
15,17,0.015500877983868122,4.688175201416016,True,False,False,0
15,18,-0.004410606808960438,6.678897380828857,True,True,True,5
15,19,-0.05813286826014519,6.6395697593688965,True,True,True,0
15,20,0.0,4.665078639984131,True,False,False,0
15,21,-0.054370343685150146,6.655046463012695,True,True,True,0
15,22,-0.11322905868291855,6.606220722198486,True,True,True,0
15,23,-0.13729706406593323,6.9381422996521,True,True,True,2
16,17,-0.11475233733654022,4.448988914489746,True,False,False,0
16,18,0.04185955226421356,6.314337730407715,True,True,True,0
16,19,-0.056541383266448975,6.407374382019043,True,True,True,0
16,20,0.0,4.353931427001953,True,False,False,0
16,21,0.044981811195611954,6.118707180023193,True,True,True,0
16,22,-0.196253702044487,6.600208282470703,True,True,True,0
16,23,-0.037101566791534424,6.402143478393555,True,True,True,0
17,18,-0.034723129123449326,4.808609962463379,False,True,False,0
17,19,0.14857341349124908,4.413209438323975,False,True,False,0
17,20,0.0,0.5426884293556213,False,False,False,0
17,21,-0.06506603956222534,4.566892147064209,False,True,False,0
17,22,0.14808112382888794,4.133657455444336,False,True,False,0
17,23,-0.06318093836307526,4.601205825805664,False,True,False,0
18,19,-0.0015732045285403728,6.528167247772217,True,True,True,0
18,20,0.0,4.759082317352295,True,False,False,0
18,21,0.09740182757377625,6.222684860229492,True,True,True,0
18,22,-0.09956727921962738,6.638795852661133,True,True,True,4
18,23,-0.04955735057592392,6.734505653381348,True,True,True,0
19,20,0.0,4.461086750030518,True,False,False,0
19,21,-0.05689351633191109,6.513791084289551,True,True,True,0
19,22,0.07679850608110428,5.87384557723999,True,True,True,12
19,23,0.053733401000499725,6.18811559677124,True,True,True,0
20,21,0.0,4.49936056137085,False,True,False,0
20,22,0.0,4.1790289878845215,False,True,False,0
20,23,0.0,4.534931182861328,False,True,False,0
21,22,-0.14552952349185944,6.5712480545043945,True,True,True,0
21,23,-0.005854015704244375,6.406929016113281,True,True,True,0
22,23,0.09080066531896591,5.8811774253845215,True,True,True,0
