variant,load_balance_weight,column,router_support_count,router_support_fraction,column_value_norm,mean_router_score,ablate_loss,ablate_loss_delta,ablate_logit_mse,ablate_residual_stream_l2_delta,force_loss,force_loss_delta,force_logit_mse,force_residual_stream_l2_delta
load_balance_0.02,0.02,8,25,0.048828125,4.1927170753479,-0.6710242629051208,2.967849016189575,0.07090926170349121,0.010099263861775398,0.22929218411445618,4.375283718109131,1.4783439636230469,0.32699650526046753,5.637437343597412
load_balance_0.02,0.02,9,8,0.015625,4.29653263092041,-0.27327072620391846,2.9400205612182617,0.043080806732177734,0.003923523705452681,0.13425832986831665,4.299556732177734,1.4026169776916504,0.26669037342071533,5.776188850402832
load_balance_0.02,0.02,10,6,0.01171875,3.4426066875457764,1.553706407546997,2.9270474910736084,0.030107736587524414,0.001742938649840653,0.05384281277656555,4.3094353675842285,1.4124956130981445,0.2585403323173523,5.302236557006836
load_balance_0.02,0.02,11,17,0.033203125,4.029970645904541,-3.047666311264038,2.9589645862579346,0.062024831771850586,0.008990400470793247,0.2676137387752533,4.29915714263916,1.4022173881530762,0.27093154191970825,5.431268692016602
load_balance_0.02,0.02,12,21,0.041015625,4.121978282928467,-0.09077467769384384,2.9451003074645996,0.048160552978515625,0.004581147339195013,0.12881135940551758,4.279803276062012,1.3828635215759277,0.28039878606796265,5.599545478820801
load_balance_0.02,0.02,13,8,0.015625,3.1358439922332764,0.39031434059143066,2.9213876724243164,0.024447917938232422,0.0012809049803763628,0.04899539425969124,4.273440361022949,1.3765006065368652,0.21883507072925568,5.0359110832214355
load_balance_0.02,0.02,14,11,0.021484375,4.187541484832764,-0.6538064479827881,2.9389920234680176,0.042052268981933594,0.003939191345125437,0.11450684070587158,4.352737903594971,1.4557981491088867,0.2922087609767914,5.7706708908081055
load_balance_0.02,0.02,15,8,0.015625,4.125016689300537,-1.081126093864441,2.9464497566223145,0.04951000213623047,0.004542540293186903,0.12890677154064178,4.32911491394043,1.4321751594543457,0.2898978590965271,5.661412715911865
load_balance_0.02,0.02,16,18,0.03515625,4.012995719909668,-4.302455902099609,2.956657648086548,0.05971789360046387,0.009472079575061798,0.2821611762046814,4.3314714431762695,1.4345316886901855,0.2745967209339142,5.430889129638672
load_balance_0.02,0.02,17,19,0.037109375,4.225457191467285,-5.009085655212402,2.9766411781311035,0.07970142364501953,0.013927957974374294,0.3136034905910492,4.381680011749268,1.4847402572631836,0.32774701714515686,5.5813422203063965
load_balance_0.02,0.02,18,44,0.0859375,2.2283835411071777,4.9230055809021,2.9165279865264893,0.019588232040405273,0.0010895566083490849,0.05717019364237785,4.256819725036621,1.359879970550537,0.19182784855365753,4.545166969299316
load_balance_0.02,0.02,19,8,0.015625,0.6235272288322449,2.831634283065796,2.896939754486084,0.0,2.2407963546212765e-14,2.9604962037410587e-07,4.227248191833496,1.330308437347412,0.14449362456798553,4.046332836151123
load_balance_0.02,0.02,20,15,0.029296875,3.8396060466766357,2.553402900695801,2.942495822906494,0.045556068420410156,0.004101685713976622,0.11998824775218964,4.298360347747803,1.4014205932617188,0.2725762724876404,5.4434990882873535
load_balance_0.02,0.02,21,21,0.041015625,4.30108118057251,-4.4562087059021,3.000420093536377,0.10348033905029297,0.010575809516012669,0.3024176061153412,4.313252925872803,1.4163131713867188,0.2946113049983978,5.617801189422607
load_balance_0.02,0.02,22,19,0.037109375,4.0644049644470215,-6.316167831420898,2.975621223449707,0.07868146896362305,0.00912597868591547,0.3016522228717804,4.294506549835205,1.397566795349121,0.2595589756965637,5.423064231872559
load_balance_0.02,0.02,23,31,0.060546875,3.583686590194702,2.596736431121826,2.9311070442199707,0.03416728973388672,0.003234194591641426,0.11209090054035187,4.311120510101318,1.4141807556152344,0.24445070326328278,5.302154541015625
